学習工学と学習支援システム、,80,110,30,0
ということで、今日は概論的なお話をしたいと思います。,100,100,25,1
この講義では、,100,100,25,0
メディア技術を使って人の学習を支援する、人の知性を高める、人の知性を代行する、,80,110,30,0
という話をします。PCであるとかスマートフォンであるとかWeb・インターネットであるとか色々な情報を媒介する情報メディアや機器がありますが、,100,100,25,0
情報メディアの役割、,80,110,30,0
というのは大きく2つに分けることができます。まず、,100,100,25,0
人間の知性を増幅する,80,110,30,0
という役割、これをインテリジェンスオーグメンテーション、IA、という言い方をします。知性というのはいろいろな側面がありますけども、ここでは学習を取り扱います。もうひとつのメディアの役割というのは、,100,100,25,0
知性を代行する、,80,110,30,0
ということです。具体的には、道具として人の作業やタスクを代行するということです。こういった知性の代行をアーティフィシャルインテリジェンス、AI、という言い方をします。この講義では両側面やりますが、どちらかというと人間の知性の増幅という方に力点を置いて説明します。,100,100,25,1
これから学習工学、学習を支援するシステムをお話をしますが、そのベースになっている学問に、,100,100,25,0
知識工学、,80,110,30,0
があります。知識工学は、IAの学問です。この学問が出てきたのが、1980年代なのですが、それ以前の1945年にコンピューターが現れて、その後ほぼ同時期にAIのような考え方が生まれて、コンピューターで人間の知性を代行する研究が始まります。そこからずっとAIの研究が進んで来たわけですが、80年代くらいになってコンピューターでは人間のような知的なことができないということが分かってきます。そこで、コンピューターを使って、AIではなく、,100,100,25,0
IAを実現しようとした最初の学問が知識工学、,80,110,30,0
と呼ばれるものです。,100,100,25,1
知識工学の誕生は1960年代後半で、1980年代から盛んになってきました。,100,100,25,0
AIとの対比,80,110,30,0
でいうと、当初AIは今とは少し違って,100,100,25,0
汎用的な問題解決,80,110,30,0
を目指していました。定理証明とか、どんな問題でもとけるような問題解決器を作ることが指向されてきました。当然ながら、コンピューターというのはアルゴリズムで動くわけなので事前に手続きを用意して問題を解くわけですが、プリミティブなオペレーションから複雑な問題を解くことにトライしてきた学問といえます。しかし、解き方を事前に与えておかなければいけません。そういう意味で、実際に解ける問題というのは現実にあるような問題ではなくてかなり制約を与えた問題になります。この制約を与えた範囲では計算機は人間と同じあるいはそれ以上に問題を解くことができるということが60年代70年代に示されてくるわけですが、それを、,100,100,25,0
実社会の問題に応用しようとすると、途端に解けない、,80,110,30,0
ということが起こります。そこで登場してくるのが、,100,100,25,0
エキスパートシステム、,80,110,30,0
と呼ばれる知識工学の発端になるものです。汎用的に問題を解くメカニズムを作るのは大変なのですが、そうではなくて人間のエキスパートが持っているような知識をコンピューター上に詰め込んで、その知識を使って問題解決を図ろうとするものです。人間の持っている知識を知識ベースとして記述していけばジツモンダイを解けるわけですが、一方で汎用的に問題を解くことはできなくなります。何故かと言うと、知識が領域に特化したものとなっていますので、解ける領域は当然限定的です。ただ限定的ではあるものの実社会の問題を解けるようなシステムを計算機上に実現できるようになります。つまり、人間と同じように汎用的に問題を解くことを諦めて、,100,100,25,0
問題領域をトッカしてもいいから知識を使って問題解決しよう、,80,110,30,0
という考え方が生まれます。,100,100,25,1
There is power in the knowledge.,80,110,30,0
これは、有名なファイゲンバームという知識工学の父と呼ばれる方の言葉です。知識こそが巨大な力を持っている。知識にもっと注目して、汎用的なAIではなく、問題領域を反映した専門的な知識をコンピューターの内部に記述して問題を解いたほうが役に立つんだということを言い始めます。ここから知識工学が始まり、1980年代を中心に発展していきます。,100,100,25,1
知識工学は、現在のコンピューターヒューマンインタラクション研究のベースになっている学問でもあります。知識工学のエッセンスは、次の通りです。まず、,100,100,25,0
知識ベースを構築するための学問、,80,110,30,0
ということです。知識ベース構築では、専門家が持っている知識をコンピューターで扱える表現にしてデータベース化することが重要です。論理的に整合性のある形で知識を書くことが求められるため、いかに知識ベースを作るかを扱うのがこの学問の中心的な課題となります。そして、この知識ベースを使って、,100,100,25,0
実際の問題解決を図るエキスパートのような振る舞いを実現することが知識工学の目標、,80,110,30,0
となります。そのために、知識ベースを用いた問題解決を実現するための推論エンジンが開発されてきました。知識工学のAIに対する貢献は何かといいますと、,100,100,25,0
知識ベースと推論エンジンを明確に分離して、,80,110,30,0
システムを構築したというところにあります。AIでは、しばしば推論エンジンの中に知識を埋め込んで記述してしまっていました。これでは、システムをアップデートをするようなときに、知識自体をアップデートするのか推論エンジンの方をアップデートするのか明確に切り分けられなくて、,100,100,25,0
システムの保守が難しくなります。,80,110,30,0
今では、ソフトウェア工学的に種類の異なるデータを分けて記述するというのは一般的な話ですが、当時は分けずに書いていました。しかし、知識工学は、役割の異なる知識を分けて記述する必要性を明確にしました。これがAIに対する非常に大きな貢献の一つになっています。,100,100,25,1
先に述べたように、知識工学では知識ベースをいかに構築するかが重要です。マイシンは、医者の診断知識をデータベース化したシステムで、病院で使ってみると人間の医者に変わるようなシステムとして使えることが示されました。クランシーはこのマイシンをガイドンというシステムに発展させました。ガイドンは、医学生に感染症の知識を教授するシステムです。知識ベースに入っている医者の知識を医学生に学ばせるシステムですね。最初、このガイドンでは,100,100,25,0
マイシンの知識ベースをそのまま教えようとしました。,80,110,30,0
